SeasonFrom;SeasonTo;Matchday;Day;Date;Time;Home;Guest;tipWin;tipDraw;topLose;Score90Home;Score90Guest;TabelleHome;TabelleGuest;OddsHome;OddsDraw;OddsGuest;MarktwertHome;MarktwertGuest;PreTabelleHome;PreTabelleGuest;AufsteigerHome;AufsteigerGuest;FormHome;FormGuest;tip_1X;tip_12;tip_X2;postponed
2019;2020;24;Friday;28.02.2020;20:30;Duesseldorf;Hertha;2,5;3,4;2,8;3;3;16;14;249;339;284;92,95;233,2;10;11;0;0;4;3;1,45;1,32;1,52;0
2019;2020;24;Saturday;29.02.2020;15:30;Dortmund;Freiburg;1,22;7;12;1;0;3;9;121;684;1279;637,4;145,4;2;13;0;0;6;4;1,04;1,11;4,4;0
2019;2020;24;Saturday;29.02.2020;15:30;Hoffenheim;Bayern;9;6;1,3;0;6;8;1;820;605;132;238,23;933,15;9;1;0;0;1;7;3,6;1,14;1,07;0
2019;2020;24;Saturday;29.02.2020;15:30;Mainz;Paderborn;1,8;3,9;4;2;0;15;18;178;403;420;147,4;31,25;12;17;0;1;4;1;1,22;1,25;1,95;0
2019;2020;24;Saturday;29.02.2020;15:30;Augsburg;Gladbach;3,4;3,8;2;2;3;12;4;354;386;199;131,15;312;15;5;0;0;1;5;1,8;1,25;1,3;0
2019;2020;24;Saturday;29.02.2020;18:30;Koeln;Schalke;2,25;3,5;3,1;3;0;13;6;223;356;316;102,2;242,75;16;14;1;0;6;2;1,37;1,3;1,65;0
2019;2020;24;Sunday;01.03.2020;13:30;Union;Wolfsburg;2,7;3,2;2,7;2;2;10;7;269;325;272;43,05;230,95;18;6;1;0;6;7;1,47;1,35;1,47;0
2019;2020;24;Sunday;01.03.2020;15:30;Leipzig;Leverkusen;1,45;4,7;6,5;1;1;2;5;149;480;606;594,4;445,75;3;4;0;0;7;9;1,11;1,18;2,75;0
2019;2020;24;Wednesday;03.06.2020;18:00;Bremen;Frankfurt;2,65;3,5;2,5;0;3;17;11;264;361;256;189,75;215,8;8;7;0;0;0;3;1,5;1,27;1,45;1
