SeasonFrom;SeasonTo;Matchday;Day;Date;Time;Home;Guest;tipWin;tipDraw;topLose;Score90Home;Score90Guest;TabelleHome;TabelleGuest;OddsHome;OddsDraw;OddsGuest;MarktwertHome;MarktwertGuest;PreTabelleHome;PreTabelleGuest;AufsteigerHome;AufsteigerGuest;FormHome;FormGuest;postponed
2019;2020;12;Friday;22.11.2019;20:30;Dortmund;Paderborn;1,17;8;15;3;3;6;18;117;812;1468;640,5;27,6;2;17;0;1;4;3;0
2019;2020;12;Saturday;23.11.2019;15:30;Leverkusen;Freiburg;1,5;4,5;5,7;1;1;8;4;149;460;616;415,25;135;4;13;0;0;4;7;0
2019;2020;12;Saturday;23.11.2019;15:30;Frankfurt;Wolfsburg;2,05;3,7;3,4;0;2;9;10;204;366;351;216,05;233,45;7;6;0;0;3;1;0
2019;2020;12;Saturday;23.11.2019;15:30;Bremen;Schalke;2,5;3,6;2,65;1;2;14;7;249;365;267;171,85;207,9;8;14;0;0;2;5;0
2019;2020;12;Saturday;23.11.2019;15:30;Duesseldorf;Bayern;14;7,5;1,18;0;4;13;3;1301;760;119;84,65;882,65;10;1;0;0;4;6;0
2019;2020;12;Saturday;23.11.2019;15:30;Union;Gladbach;3,5;3,5;2,1;2;0;11;1;351;360;206;36;270,5;18;5;1;0;6;9;0
2019;2020;12;Saturday;23.11.2019;18:30;Leipzig;Koeln;1,33;5,7;8;4;1;2;17;134;552;824;544,4;97,9;3;16;0;1;6;0;0
2019;2020;12;Sunday;24.11.2019;15:30;Augsburg;Hertha;2,6;3,5;2,6;4;0;15;12;260;354;261;139,25;222,7;15;11;0;0;4;0;0
2019;2020;12;Sunday;24.11.2019;18:00;Hoffenheim;Mainz;1,6;4,2;5;1;5;5;16;164;417;503;234,8;152,45;9;12;0;0;9;3;0
