SeasonFrom;SeasonTo;Matchday;Day;Date;Time;Home;Guest;tipWin;tipDraw;topLose;Score90Home;Score90Guest;TabelleHome;TabelleGuest;OddsHome;OddsDraw;OddsGuest;MarktwertHome;MarktwertGuest;PreTabelleHome;PreTabelleGuest;AufsteigerHome;AufsteigerGuest;FormHome;FormGuest;tip_1X;tip_12;tip_X2;postponed
2019;2020;23;Friday;21.02.2020;20:30;Bayern;Paderborn;1,05;15;30;3;2;1;18;105;1515;3566;933,15;31,25;1;17;0;1;7;1;1;1,01;10;0
2019;2020;23;Saturday;22.02.2020;15:30;Gladbach;Hoffenheim;1,65;4;4,8;1;1;4;8;166;420;492;312;238,23;5;9;0;0;7;3;1,17;1,22;2,2;0
2019;2020;23;Saturday;22.02.2020;15:30;Bremen;Dortmund;6,5;5;1,42;0;2;17;3;646;544;141;189,75;637,4;8;2;0;0;0;6;2,8;1,17;1,11;0
2019;2020;23;Saturday;22.02.2020;15:30;Hertha;Koeln;2,3;3,4;3;0;5;13;14;235;337;309;233,2;102,2;11;16;0;1;4;3;1,37;1,3;1,6;0
2019;2020;23;Saturday;22.02.2020;15:30;Freiburg;Duesseldorf;1,95;3,6;3,8;0;2;7;16;196;366;385;145,4;93,15;13;10;0;0;4;2;1,27;1,3;1,85;0
2019;2020;23;Saturday;22.02.2020;18:30;Schalke;Leipzig;4,2;3,8;1,8;0;5;6;2;420;394;181;242,75;594,4;14;3;0;0;3;5;2;1,25;1,22;0
2019;2020;23;Saturday;23.02.2020;15:30;Leverkusen;Augsburg;1,47;4,5;6,2;2;0;5;11;147;457;684;445,75;131,15;4;15;0;0;6;4;1,11;1,18;2,6;0
2019;2020;23;Sunday;23.02.2020;18:00;Wolfsburg;Mainz;1,75;3,9;4,5;4;0;9;15;176;383;466;230,95;147,4;6;12;0;0;7;4;1,2;1,25;2,1;0
2019;2020;23;Sunday;24.02.2020;20:30;Frankfurt;Union;1,9;3,5;4;1;2;10;12;195;360;394;215,8;43,05;7;18;0;1;4;3;1,22;1,3;1,85;0
