SeasonFrom;SeasonTo;Matchday;Day;Date;Time;Home;Guest;tipWin;tipDraw;topLose;Score90Home;Score90Guest;TabelleHome;TabelleGuest;OddsHome;OddsDraw;OddsGuest;MarktwertHome;MarktwertGuest;PreTabelleHome;PreTabelleGuest;AufsteigerHome;AufsteigerGuest;FormHome;FormGuest;tip_1X;tip_12;tip_X2;postponed
2019;2020;34;Saturday;27.06.2020;15:30;Dortmund;Hoffenheim;1,72;4,3;4,2;0;4;2;7;178;442;402;586,2;192,43;2;9;0;0;6;6;1,22;1,22;2,1;0
2019;2020;34;Saturday;27.06.2020;15:30;Leverkusen;Mainz;1,25;6,5;10;1;0;5;13;127;660;998;383,15;119,63;4;12;0;0;4;6;1,05;1,11;3,9;0
2019;2020;34;Saturday;27.06.2020;15:30;Gladbach;Hertha;1,33;5,7;8;2;1;4;10;136;552;812;249,53;188,38;5;11;0;0;6;3;1,08;1,14;3,3;0
2019;2020;34;Saturday;27.06.2020;15:30;Wolfsburg;Bayern;4,3;4,3;1,7;0;4;6;1;437;449;170;186,78;757,38;6;1;0;0;4;9;2,15;1,22;1,22;0
2019;2020;34;Saturday;27.06.2020;15:30;Frankfurt;Paderborn;1,32;5,7;8,5;3;2;9;18;133;582;841;178,98;26,53;7;17;0;1;7;0;1,07;1,14;3,4;0
2019;2020;34;Saturday;27.06.2020;15:30;Bremen;Koeln;1,63;4,3;5;6;1;17;14;164;440;499;133,75;92,05;8;16;0;1;3;1;1,18;1,22;2,3;0
2019;2020;34;Saturday;27.06.2020;15:30;Freiburg;Schalke;1,8;4;4,1;4;0;8;11;183;397;420;118,05;213,03;13;14;0;0;4;1;1,25;1,25;2;0
2019;2020;34;Saturday;27.06.2020;15:30;Augsburg;Leipzig;7;5,4;1,38;1;2;15;3;703;529;141;106,33;522,58;15;3;0;0;4;4;3;1,15;1,1;0
2019;2020;34;Saturday;27.06.2020;15:30;Union;Duesseldorf;3,7;3,6;2;3;0;12;16;392;363;197;40,45;68,65;18;10;1;0;6;2;1,8;1,3;1,27;0
