SeasonFrom;SeasonTo;Matchday;Day;Date;Time;Home;Guest;tipWin;tipDraw;topLose;Score90Home;Score90Guest;TabelleHome;TabelleGuest;OddsHome;OddsDraw;OddsGuest;MarktwertHome;MarktwertGuest;PreTabelleHome;PreTabelleGuest;AufsteigerHome;AufsteigerGuest;FormHome;FormGuest;postponed
2019;2020;2;Friday;16.08.2019;20:30;Koeln;Dortmund;7;4,8;1,42;1;3;13;1;647;487;146;97,1;642,1;16;2;1;0;0;9;0
2019;2020;2;Saturday;17.08.2019;15:30;Duesseldorf;Leverkusen;4,7;3,8;1,7;1;3;4;5;450;424;172;81,65;413,1;10;4;0;0;6;7;0
2019;2020;2;Saturday;17.08.2019;15:30;Mainz;Gladbach;2,9;3,4;2,4;1;3;16;10;298;345;240;147,35;261,5;12;5;0;0;6;4;0
2019;2020;2;Saturday;17.08.2019;15:30;Augsburg;Union;2,2;3,3;3,4;1;1;17;18;220;342;340;125,05;35,58;15;18;0;1;0;0;0
2019;2020;2;Saturday;17.08.2019;15:30;Paderborn;Freiburg;2,5;3,6;2,6;1;3;12;3;249;360;276;23,85;113,98;17;13;1;0;0;6;0
2019;2020;2;Saturday;17.08.2019;15:30;Hoffenheim;Bremen;1,9;3,9;3,7;3;2;14;15;189;394;389;249,5;160,48;9;8;0;0;0;6;0
2019;2020;2;Saturday;17.08.2019;18:30;Schalke;Bayern;7,5;5;1,37;0;3;10;8;825;505;138;213,48;885,4;14;1;0;0;3;5;0
2019;2020;2;Sunday;18.08.2019;15:30;Leipzig;Frankfurt;1,5;4,5;6;2;1;2;7;151;456;624;522,1;207,55;3;7;0;0;4;3;0
2019;2020;2;Sunday;18.08.2019;18:00;Hertha;Wolfsburg;2,35;3,5;2,9;0;3;8;6;241;354;291;215,2;230,7;11;6;0;0;4;6;0
