SeasonFrom;SeasonTo;Matchday;Day;Date;Time;Home;Guest;tipWin;tipDraw;topLose;Score90Home;Score90Guest;TabelleHome;TabelleGuest;OddsHome;OddsDraw;OddsGuest;MarktwertHome;MarktwertGuest;PreTabelleHome;PreTabelleGuest;AufsteigerHome;AufsteigerGuest;FormHome;FormGuest;tip_1X;tip_12;tip_X2;postponed
2019;2020;30;Friday;05.06.2020;20:30;Freiburg;Gladbach;4,3;4;1,75;1;0;8;4;429;400;180;118,05;249,53;13;5;0;0;1;4;2,05;1,25;1,22;0
2019;2020;30;Saturday;06.06.2020;15:30;Leipzig;Paderborn;1,13;9;17;1;1;3;18;115;865;1720;522,58;26,53;3;17;0;1;7;2;1;1,06;6;0
2019;2020;30;Saturday;06.06.2020;15:30;Leverkusen;Bayern;6,3;5;1,45;2;4;5;1;599;507;148;383,15;756,58;4;1;0;0;6;9;2,8;1,18;1,12;0
2019;2020;30;Saturday;06.06.2020;15:30;Frankfurt;Mainz;1,95;3,8;3,7;0;2;11;15;199;382;363;178,98;119,63;7;12;0;0;4;1;1,3;1,27;1,85;0
2019;2020;30;Saturday;06.06.2020;15:30;Duesseldorf;Hoffenheim;2,8;3,5;2,45;2;2;16;7;283;354;248;68,63;192,43;10;9;0;0;4;7;1,55;1,3;1,45;0
2019;2020;30;Saturday;06.06.2020;18:30;Dortmund;Hertha;1,35;5,3;8;1;0;2;9;138;537;780;586,05;188,38;2;11;0;0;6;7;1,08;1,16;3,2;0
2019;2020;30;Sunday;07.06.2020;13:30;Bremen;Wolfsburg;3,5;3,5;2,1;0;1;17;6;364;353;209;133,75;186,58;8;6;0;0;7;3;1,75;1,32;1,32;0
2019;2020;30;Sunday;07.06.2020;15:30;Union;Schalke;2,45;3,3;2,9;1;1;14;10;250;322;305;40,45;212,85;18;14;1;0;1;0;1,4;1,32;1,55;0
2019;2020;30;Sunday;07.06.2020;18:00;Augsburg;Koeln;2,75;3,5;2,5;1;1;13;12;279;350;253;106,33;92,05;15;16;0;1;4;1;1,55;1,3;1,45;0
