SeasonFrom;SeasonTo;Matchday;Day;Date;Time;Home;Guest;tipWin;tipDraw;topLose;Score90Home;Score90Guest;TabelleHome;TabelleGuest;OddsHome;OddsDraw;OddsGuest;MarktwertHome;MarktwertGuest;PreTabelleHome;PreTabelleGuest;AufsteigerHome;AufsteigerGuest;FormHome;FormGuest;tip_1X;tip_12;tip_X2;postponed
2019;2020;32;Tuesday;16.06.2020;18:30;Gladbach;Wolfsburg;2,2;3,6;3,1;3;0;5;6;223;361;320;249,53;186,78;5;6;0;0;3;4;1,37;1,27;1,65;0
2019;2020;32;Tuesday;16.06.2020;20:30;Bremen;Bayern;15;7,5;1,17;0;1;17;1;1426;769;119;133,75;756,58;8;1;0;0;6;9;5;1,09;1,01;0
2019;2020;32;Tuesday;16.06.2020;20:30;Freiburg;Hertha;2,6;3,5;2,6;2;1;8;11;266;363;259;118,05;188,38;13;11;0;0;4;3;1,5;1,3;1,5;0
2019;2020;32;Tuesday;16.06.2020;20:30;Union;Paderborn;1,65;4;5;1;0;14;18;168;411;500;40,45;26,53;18;17;1;1;4;1;1,17;1,25;2,2;0
2019;2020;32;Wednesday;17.06.2020;18:30;Frankfurt;Schalke;1,75;3,9;4,5;2;1;10;9;174;411;456;178,98;213,03;7;14;0;0;6;2;1,2;1,25;2,1;0
2019;2020;32;Wednesday;17.06.2020;20:30;Dortmund;Mainz;1,23;6,5;12;0;2;2;15;126;635;1122;586,23;119,63;2;12;0;0;9;3;1,03;1,12;4,2;0
2019;2020;32;Wednesday;17.06.2020;20:30;Leipzig;Duesseldorf;1,2;7;13;2;2;3;16;123;654;1354;522,58;68,63;3;10;0;0;7;1;1,02;1,1;4,5;0
2019;2020;32;Wednesday;17.06.2020;20:30;Leverkusen;Koeln;1,45;4,8;6,5;3;1;4;12;145;487;689;383,15;92,05;4;16;0;1;4;1;1,11;1,18;2,75;0
2019;2020;32;Wednesday;17.06.2020;20:30;Augsburg;Hoffenheim;2,7;3,6;2,5;1;3;13;7;275;371;247;106,33;192,43;15;9;0;0;4;4;1,55;1,3;1,47;0
