SeasonFrom;SeasonTo;Matchday;Day;Date;Time;Home;Guest;tipWin;tipDraw;topLose;Score90Home;Score90Guest;TabelleHome;TabelleGuest;OddsHome;OddsDraw;OddsGuest;MarktwertHome;MarktwertGuest;PreTabelleHome;PreTabelleGuest;AufsteigerHome;AufsteigerGuest;FormHome;FormGuest;tip_1X;tip_12;tip_X2;postponed
2019;2020;22;Friday;14.02.2020;20:30;Dortmund;Frankfurt;1,38;5,5;6,8;4;0;3;9;141;523;690;637,4;215,8;2;7;0;0;6;7;1,1;1,15;3;0
2019;2020;22;Saturday;15.02.2020;15:30;Leipzig;Bremen;1,25;6,2;11;3;0;2;17;125;630;1144;594,4;189,75;3;8;0;0;2;0;1,04;1,12;4;0
2019;2020;22;Saturday;15.02.2020;15:30;Hoffenheim;Wolfsburg;2,45;3,5;2,8;2;3;7;10;247;346;286;238,23;230,95;9;6;0;0;6;4;1,45;1,3;1,55;0
2019;2020;22;Saturday;15.02.2020;15:30;Augsburg;Freiburg;2,1;3,7;3,3;1;1;12;8;209;365;343;131,15;145,4;15;13;0;0;3;3;1,35;1,27;1,75;0
2019;2020;22;Saturday;15.02.2020;15:30;Paderborn;Hertha;2,8;3,6;2,4;1;2;18;14;284;351;246;31,25;233,2;17;11;1;0;4;4;1,57;1,3;1,45;0
2019;2020;22;Saturday;15.02.2020;15:30;Union;Leverkusen;3,8;3,8;1,9;2;3;11;5;394;369;192;43,05;445,75;18;4;1;0;6;6;1,9;1,27;1,27;0
2019;2020;22;Saturday;15.02.2020;18:30;Duesseldorf;Gladbach;4,3;3,8;1,8;1;4;16;4;424;398;180;93,15;312;10;5;0;0;2;4;2;1,27;1,22;0
2019;2020;22;Sunday;16.02.2020;15:30;Koeln;Bayern;13;7;1,2;1;4;13;1;1191;710;122;102,2;933,15;16;1;1;0;6;7;4,5;1,1;1,02;0
2019;2020;22;Sunday;16.02.2020;18:00;Mainz;Schalke;3;3,4;2,35;0;0;15;6;291;340;246;147,4;242,75;12;14;0;0;3;2;1,6;1,32;1,4;0
