SeasonFrom;SeasonTo;Matchday;Day;Date;Time;Home;Guest;tipWin;tipDraw;topLose;Score90Home;Score90Guest;TabelleHome;TabelleGuest;OddsHome;OddsDraw;OddsGuest;MarktwertHome;MarktwertGuest;PreTabelleHome;PreTabelleGuest;AufsteigerHome;AufsteigerGuest;FormHome;FormGuest;tip_1X;tip_12;tip_X2;postponed
2019;2020;28;Tuesday;26.05.2020;18:30;Dortmund;Bayern;3,6;4,3;1,85;0;1;2;1;369;432;187;586,05;756,58;2;1;0;0;9;9;1,95;1,22;1,3;0
2019;2020;28;Tuesday;26.05.2020;20:30;Leverkusen;Wolfsburg;1,75;4;4,3;1;4;4;6;174;423;440;383,15;186,58;4;6;0;0;9;4;1,22;1,25;2,05;0
2019;2020;28;Tuesday;26.05.2020;20:30;Frankfurt;Freiburg;2;3,8;3,5;3;3;14;7;202;377;358;178,98;118,05;7;13;0;0;0;4;1,3;1,27;1,8;0
2019;2020;28;Tuesday;26.05.2020;20:30;Bremen;Gladbach;4,3;4;1,77;0;0;17;5;439;403;178;133,75;249,53;8;5;0;0;4;3;2,05;1,25;1,22;0
2019;2020;28;Wednesday;27.05.2020;18:30;Leipzig;Hertha;1,35;5,5;8;2;2;3;11;135;550;845;522,58;188,38;3;11;0;0;5;7;1,08;1,16;3,3;0
2019;2020;28;Wednesday;27.05.2020;20:30;Hoffenheim;Koeln;2,35;3,6;2,85;3;1;9;10;243;365;284;192,43;92,05;9;16;0;1;2;5;1,42;1,3;1,6;0
2019;2020;28;Wednesday;27.05.2020;20:30;Duesseldorf;Schalke;2,65;3,4;2,65;2;1;16;8;271;342;267;68,78;212,85;10;14;0;0;3;1;1,5;1,32;1,5;0
2019;2020;28;Wednesday;27.05.2020;20:30;Augsburg;Paderborn;1,9;3,7;3,9;0;0;12;18;198;374;377;106,33;26,53;15;17;0;1;3;2;1,25;1,27;1,9;0
2019;2020;28;Wednesday;27.05.2020;20:30;Union;Mainz;2,3;3,4;3,1;1;1;13;15;227;354;316;40,45;119,63;18;12;1;0;0;2;1,37;1,32;1,6;0
