SeasonFrom;SeasonTo;Matchday;Day;Date;Time;Home;Guest;tipWin;tipDraw;topLose;Score90Home;Score90Guest;TabelleHome;TabelleGuest;OddsHome;OddsDraw;OddsGuest;MarktwertHome;MarktwertGuest;PreTabelleHome;PreTabelleGuest;AufsteigerHome;AufsteigerGuest;FormHome;FormGuest;postponed
2019;2020;10;Friday;01.11.2019;20:30;Hoffenheim;Paderborn;1,5;4,7;5,7;3;0;10;18;151;457;619;234,8;27,6;9;17;0;1;9;3;0
2019;2020;10;Saturday;02.11.2019;15:30;Dortmund;Wolfsburg;1,47;4,4;7;3;0;5;4;151;442;658;640,5;233,45;2;6;0;0;5;5;0
2019;2020;10;Saturday;02.11.2019;15:30;Leipzig;Mainz;1,35;5;8,5;8;0;6;13;135;527;878;544,4;152,45;3;12;0;0;2;6;0
2019;2020;10;Saturday;02.11.2019;15:30;Leverkusen;Gladbach;2;3,7;3,4;1;2;8;1;206;376;342;415,25;270,5;4;5;0;0;2;6;0
2019;2020;10;Saturday;02.11.2019;15:30;Frankfurt;Bayern;6,5;5,3;1,4;5;1;9;2;675;518;143;216,05;882,65;7;1;0;0;4;4;0
2019;2020;10;Saturday;02.11.2019;15:30;Bremen;Freiburg;2;3,7;3,5;2;2;12;3;204;364;361;171,85;135;8;13;0;0;3;4;0
2019;2020;10;Saturday;02.11.2019;18:30;Union;Hertha;2,7;3,5;2,5;1;0;15;11;287;339;251;36;222,7;18;11;1;0;3;4;0
2019;2020;10;Sunday;03.11.2019;15:30;Duesseldorf;Koeln;2,7;3,7;2,4;2;0;14;16;275;364;247;84,65;97,8;10;16;0;1;3;4;0
2019;2020;10;Sunday;03.11.2019;18:00;Augsburg;Schalke;3,6;3,7;1,95;2;3;17;7;369;382;196;139,25;207,9;15;14;0;0;2;2;0
