SeasonFrom;SeasonTo;Matchday;Day;Date;Time;Home;Guest;tipWin;tipDraw;topLose;Score90Home;Score90Guest;TabelleHome;TabelleGuest;OddsHome;OddsDraw;OddsGuest;MarktwertHome;MarktwertGuest;PreTabelleHome;PreTabelleGuest;AufsteigerHome;AufsteigerGuest;FormHome;FormGuest;postponed
2019;2020;6;Friday;27.09.2019;20:30;Union;Frankfurt;3;3,7;2,25;1;2;14;9;303;354;233;35,45;204,05;18;7;1;0;3;4;0
2019;2020;6;Saturday;28.09.2019;15:30;Leipzig;Schalke;1,55;4,5;5,5;1;3;1;5;155;444;573;521,1;206,48;3;14;0;0;7;9;0
2019;2020;6;Saturday;28.09.2019;15:30;Hoffenheim;Gladbach;2,35;3,7;2,8;0;3;11;6;241;367;280;242,5;257;9;5;0;0;2;6;0
2019;2020;6;Saturday;28.09.2019;15:30;Mainz;Wolfsburg;2,8;3,7;2,35;0;1;17;8;286;358;241;150,35;224,9;12;6;0;0;3;3;0
2019;2020;6;Saturday;28.09.2019;15:30;Augsburg;Leverkusen;4,8;4,5;1,62;0;3;12;7;466;454;164;128,25;413,1;15;4;0;0;4;4;0
2019;2020;6;Saturday;28.09.2019;15:30;Paderborn;Bayern;15;8,5;1,15;2;3;18;2;1551;906;115;24,7;866,65;17;1;1;0;1;7;0
2019;2020;6;Sunday;28.09.2019;18:30;Dortmund;Bremen;1,27;6;10;2;2;3;10;127;623;1004;633,8;170,13;2;8;0;0;4;6;0
2019;2020;6;Sunday;29.09.2019;15:30;Duesseldorf;Freiburg;2,4;3,5;2,8;1;2;13;4;242;354;288;81,58;121,03;10;13;0;0;1;4;0
2019;2020;6;Monday;29.09.2019;18:00;Koeln;Hertha;2,15;3,7;3,2;0;4;16;15;218;367;319;94,8;223,2;16;11;1;0;3;3;0
