SeasonFrom;SeasonTo;Matchday;Day;Date;Time;Home;Guest;tipWin;tipDraw;topLose;Score90Home;Score90Guest;TabelleHome;TabelleGuest;OddsHome;OddsDraw;OddsGuest;MarktwertHome;MarktwertGuest;PreTabelleHome;PreTabelleGuest;AufsteigerHome;AufsteigerGuest;FormHome;FormGuest;postponed
2019;2020;11;Friday;08.11.2019;20:30;Koeln;Hoffenheim;2,55;3,6;2,55;1;2;17;9;262;361;259;97,8;234,8;16;9;1;0;3;9;0
2019;2020;11;Saturday;09.11.2019;15:30;Hertha;Leipzig;4,5;3,7;1,75;2;4;11;3;442;403;175;222,7;544,4;11;3;0;0;1;4;0
2019;2020;11;Saturday;09.11.2019;15:30;Mainz;Union;2,2;3,5;3,1;2;3;15;14;225;339;328;152,45;36;12;18;0;1;3;6;0
2019;2020;11;Saturday;09.11.2019;15:30;Schalke;Duesseldorf;1,52;4,4;6;3;3;6;13;152;441;630;207,9;84,65;14;10;0;0;4;6;0
2019;2020;11;Saturday;09.11.2019;15:30;Paderborn;Augsburg;2,5;3,6;2,6;0;1;18;16;257;377;256;27,6;139,25;17;15;1;0;3;2;0
2019;2020;11;Saturday;09.11.2019;18:30;Bayern;Dortmund;1,6;4,5;5,2;4;0;4;2;157;456;533;882,65;640,5;1;2;0;0;4;7;0
2019;2020;11;Saturday;10.11.2019;13:30;Gladbach;Bremen;1,8;3,9;4,2;3;1;1;12;177;405;427;270,5;171,85;5;8;0;0;6;3;0
2019;2020;11;Sunday;10.11.2019;15:30;Wolfsburg;Leverkusen;2,8;3,5;2,4;0;2;8;10;287;345;244;233,45;415,25;6;4;0;0;2;1;0
2019;2020;11;Sunday;10.11.2019;18:00;Freiburg;Frankfurt;2,8;3,5;2,4;1;0;5;7;283;356;242;135;216,05;13;7;0;0;4;6;0
