SeasonFrom;SeasonTo;Matchday;Day;Date;Time;Home;Guest;tipWin;tipDraw;topLose;Score90Home;Score90Guest;TabelleHome;TabelleGuest;OddsHome;OddsDraw;OddsGuest;MarktwertHome;MarktwertGuest;PreTabelleHome;PreTabelleGuest;AufsteigerHome;AufsteigerGuest;FormHome;FormGuest;tip_1X;tip_12;tip_X2;postponed
2019;2020;21;Friday;07.02.2020;20:30;Frankfurt;Augsburg;1,8;3,8;4,2;5;0;11;10;179;391;430;215,8;131,15;7;15;0;0;7;3;1,22;1,25;2;0
2019;2020;21;Saturday;08.02.2020;15:30;Wolfsburg;Duesseldorf;1,6;4;5,3;1;1;9;17;162;403;553;227,95;93,15;6;10;0;0;3;1;1,14;1,22;2,3;0
2019;2020;21;Saturday;08.02.2020;15:30;Bremen;Union;2,05;3,5;3,5;0;2;16;12;205;365;352;189,4;43,05;8;18;0;1;3;3;1,3;1,3;1,75;0
2019;2020;21;Saturday;08.02.2020;15:30;Hertha;Mainz;2;3,7;3,5;1;3;13;15;201;365;368;236,2;146,4;11;12;0;0;4;0;1,3;1,27;1,8;0
2019;2020;21;Saturday;08.02.2020;15:30;Freiburg;Hoffenheim;2,6;3,5;2,6;1;0;8;7;261;350;264;145,4;234,83;13;9;0;0;3;6;1,5;1,3;1,5;0
2019;2020;21;Saturday;08.02.2020;15:30;Schalke;Paderborn;1,5;4,4;6;1;1;6;18;149;451;659;242,75;30,85;14;17;0;1;4;3;1,12;1,2;2,55;0
2019;2020;21;Saturday;08.02.2020;18:30;Leverkusen;Dortmund;3,2;3,8;2,1;4;3;5;3;312;384;215;434,25;616,4;4;2;0;0;6;9;1,75;1,27;1,35;0
2019;2020;21;Wednesday;11.03.2020;15:30;Gladbach;Koeln;1,65;4,1;4,8;2;1;4;14;167;405;495;312;93,25;5;16;0;1;4;6;1,18;1,22;2,2;1
2019;2020;21;Sunday;09.02.2020;18:00;Bayern;Leipzig;1,4;5,3;6,5;0;0;1;2;141;555;645;915,15;594,4;1;3;0;0;9;4;1,11;1,15;2,9;0
