SeasonFrom;SeasonTo;Matchday;Day;Date;Time;Home;Guest;tipWin;tipDraw;topLose;Score90Home;Score90Guest;TabelleHome;TabelleGuest;OddsHome;OddsDraw;OddsGuest;MarktwertHome;MarktwertGuest;PreTabelleHome;PreTabelleGuest;AufsteigerHome;AufsteigerGuest;FormHome;FormGuest;postponed
2019;2020;15;Friday;06.12.2019;20:30;Hoffenheim;Augsburg;1,85;3,7;4;2;4;8;12;191;372;399;234,8;139,25;9;15;0;0;1;7;0
2019;2020;15;Saturday;07.12.2019;15:30;Bayern;Bremen;1,15;8,5;13;6;1;7;14;115;859;1664;882,65;171,85;1;8;0;0;3;3;0
2019;2020;15;Saturday;07.12.2019;15:30;Hertha;Freiburg;2;3,6;3,5;1;0;15;5;205;364;354;222,7;135;11;13;0;0;1;4;0
2019;2020;15;Saturday;07.12.2019;15:30;Mainz;Dortmund;5;4,2;1,6;0;4;13;3;513;429;162;152,45;640,5;12;2;0;0;6;7;0
2019;2020;15;Saturday;07.12.2019;15:30;Koeln;Leverkusen;4,1;3,9;1,82;2;0;18;6;415;390;182;97,9;415,25;16;4;1;0;1;7;0
2019;2020;15;Saturday;07.12.2019;15:30;Paderborn;Union;2,9;3,5;2,35;1;1;17;10;284;362;240;27,6;36;17;18;1;1;4;6;0
2019;2020;15;Saturday;07.12.2019;18:30;Duesseldorf;Leipzig;6,5;4,7;1,45;0;3;16;2;662;495;144;84,65;544,4;10;3;0;0;1;9;0
2019;2020;15;Sunday;08.12.2019;15:30;Wolfsburg;Gladbach;2,6;3,4;2,6;2;1;9;1;268;341;262;233,45;270,5;6;5;0;0;3;6;0
2019;2020;15;Sunday;08.12.2019;18:00;Schalke;Frankfurt;2;3,6;3,5;1;0;4;11;200;378;353;208,03;216,05;14;7;0;0;6;1;0
