SeasonFrom;SeasonTo;Matchday;Day;Date;Time;Home;Guest;tipWin;tipDraw;topLose;Score90Home;Score90Guest;TabelleHome;TabelleGuest;OddsHome;OddsDraw;OddsGuest;MarktwertHome;MarktwertGuest;PreTabelleHome;PreTabelleGuest;AufsteigerHome;AufsteigerGuest;FormHome;FormGuest;postponed
2019;2020;14;Friday;06.12.2019;20:30;Frankfurt;Hertha;1,85;3,7;4;2;2;10;16;184;385;416;216,05;222,7;7;11;0;0;0;0;0
2019;2020;14;Saturday;07.12.2019;15:30;Dortmund;Duesseldorf;1,3;5,3;10;5;0;5;15;130;572;954;640,5;84,65;2;10;0;0;4;3;0
2019;2020;14;Saturday;07.12.2019;15:30;Leipzig;Hoffenheim;1,45;4,8;6,5;3;1;2;8;145;486;666;544,4;234,8;3;9;0;0;9;4;0
2019;2020;14;Saturday;07.12.2019;15:30;Gladbach;Bayern;5,5;4,7;1,5;2;1;1;4;541;462;155;270,5;882,65;5;1;0;0;6;6;0
2019;2020;14;Saturday;07.12.2019;15:30;Freiburg;Wolfsburg;2,75;3,4;2,5;1;0;6;9;286;336;251;135;233,45;13;6;0;0;4;3;0
2019;2020;14;Saturday;07.12.2019;15:30;Augsburg;Mainz;2,3;3,5;3;2;1;14;12;229;356;303;139,25;152,45;15;12;0;0;7;6;0
2019;2020;14;Sunday;07.12.2019;18:30;Leverkusen;Schalke;1,85;3,8;4;2;1;7;3;188;372;401;415,25;208,03;4;14;0;0;7;7;0
2019;2020;14;Sunday;08.12.2019;15:30;Union;Koeln;2,25;3,4;3,1;2;0;11;17;222;343;327;36;97,9;18;16;1;1;6;1;0
2019;2020;14;Monday;08.12.2019;18:00;Bremen;Paderborn;1,55;4;4,8;0;1;13;18;153;464;556;171,85;27,6;8;17;0;1;3;1;0
