SeasonFrom;SeasonTo;Matchday;Day;Date;Time;Home;Guest;tipWin;tipDraw;topLose;Score90Home;Score90Guest;TabelleHome;TabelleGuest;OddsHome;OddsDraw;OddsGuest;MarktwertHome;MarktwertGuest;PreTabelleHome;PreTabelleGuest;AufsteigerHome;AufsteigerGuest;FormHome;FormGuest;tip_1X;tip_12;tip_X2;postponed
2019;2020;33;Saturday;20.06.2020;15:30;Bayern;Freiburg;1,23;6,5;12;3;1;1;8;125;665;1029;757,38;118,05;1;13;0;0;9;7;1,03;1,12;4,2;0
2019;2020;33;Saturday;20.06.2020;15:30;Leipzig;Dortmund;2,3;3,7;2,9;0;2;3;2;235;372;295;522,58;586,23;3;2;0;0;5;6;1,42;1,27;1,65;0
2019;2020;33;Saturday;20.06.2020;15:30;Hoffenheim;Union;1,57;4,3;5,4;4;0;7;12;161;427;546;192,43;40,45;9;18;0;1;4;7;1,15;1,22;2,4;0
2019;2020;33;Saturday;20.06.2020;15:30;Duesseldorf;Augsburg;1,9;3,8;3,8;1;1;16;14;194;381;390;68,63;106,33;10;15;0;0;2;4;1,27;1,27;1,9;0
2019;2020;33;Saturday;20.06.2020;15:30;Hertha;Leverkusen;5,2;4,3;1,6;2;0;11;4;526;435;162;188,38;383,15;11;4;0;0;0;4;2,35;1,22;1,17;0
2019;2020;33;Saturday;20.06.2020;15:30;Mainz;Bremen;2,55;3,6;2,65;3;1;15;17;260;357;270;119,63;133,75;12;8;0;0;6;3;1,5;1,3;1,52;0
2019;2020;33;Saturday;20.06.2020;15:30;Schalke;Wolfsburg;5,2;4,1;1,62;1;4;10;6;531;416;164;213,03;186,78;14;6;0;0;2;4;2,3;1,22;1,16;0
2019;2020;33;Saturday;20.06.2020;15:30;Koeln;Frankfurt;2,8;3,7;2,35;1;1;13;9;279;384;239;92,05;178,98;16;7;1;0;1;6;1,6;1,27;1,42;0
2019;2020;33;Saturday;20.06.2020;15:30;Paderborn;Gladbach;10;6,2;1,27;1;3;18;5;1032;617;129;26,53;249,53;17;5;1;0;1;3;3,8;1,13;1,05;0
