SeasonFrom;SeasonTo;Matchday;Day;Date;Time;Home;Guest;tipWin;tipDraw;topLose;Score90Home;Score90Guest;TabelleHome;TabelleGuest;OddsHome;OddsDraw;OddsGuest;MarktwertHome;MarktwertGuest;PreTabelleHome;PreTabelleGuest;AufsteigerHome;AufsteigerGuest;FormHome;FormGuest;tip_1X;tip_12;tip_X2;postponed
2019;2020;25;Friday;06.03.2020;20:00;Paderborn;Koeln;3,2;3,7;2,1;1;2;18;11;323;382;213;31,25;102,2;17;16;1;1;0;6;1,7;1,27;1,35;0
2019;2020;25;Saturday;07.03.2020;15:30;Leverkusen;Frankfurt;1,7;4;4,5;4;0;5;12;168;420;481;445,75;215,8;4;7;0;0;7;0;1,2;1,22;2,1;0
2019;2020;25;Saturday;07.03.2020;15:30;Wolfsburg;Leipzig;4,1;3,7;1,85;0;0;7;2;401;377;190;230,95;594,4;6;3;0;0;7;7;1,95;1,27;1,22;0
2019;2020;25;Saturday;07.03.2020;15:30;Hertha;Bremen;2,2;3,4;3,3;2;2;14;17;222;344;333;233,2;189,75;11;8;0;0;4;0;1,32;1,32;1,65;0
2019;2020;25;Saturday;07.03.2020;15:30;Freiburg;Union;2,35;3,3;3;3;1;9;10;235;338;311;145,48;43,05;13;18;0;1;1;4;1,37;1,32;1,57;0
2019;2020;25;Saturday;07.03.2020;15:30;Schalke;Hoffenheim;2,2;3,6;3,1;1;1;6;8;225;360;313;242,75;238,23;14;9;0;0;1;1;1,37;1,27;1,65;0
2019;2020;25;Saturday;07.03.2020;18:30;Gladbach;Dortmund;3,1;3,8;2,15;1;2;4;3;317;387;214;312;637,4;5;2;0;0;7;9;1,7;1,27;1,37;0
2019;2020;25;Sunday;08.03.2020;15:30;Bayern;Augsburg;1,1;11;20;2;0;1;13;110;1061;2497;934,15;131,15;1;15;0;0;9;1;1;1,04;7;0
2019;2020;25;Sunday;08.03.2020;18:00;Mainz;Duesseldorf;1,95;3,7;3,7;1;1;15;16;196;380;374;147,4;93,1;12;10;0;0;4;4;1,27;1,27;1,85;0
