SeasonFrom;SeasonTo;Matchday;Day;Date;Time;Home;Guest;tipWin;tipDraw;topLose;Score90Home;Score90Guest;TabelleHome;TabelleGuest;OddsHome;OddsDraw;OddsGuest;MarktwertHome;MarktwertGuest;PreTabelleHome;PreTabelleGuest;AufsteigerHome;AufsteigerGuest;FormHome;FormGuest;tip_1X;tip_12;tip_X2
2020;2021;22;Friday;19.02.2021;20:30;Bielefeld;Wolfsburg;;;;0;3;16;4;602;400;161;50,75;221,05;17;7;1;0;1;7;;;
2020;2021;22;Saturday;20.02.2021;15:30;Gladbach;Mainz;1,67;3,8;5;1;2;7;17;171;388;509;346,45;87,95;4;13;0;0;2;4;1,15;1,28;2,2
2020;2021;22;Saturday;20.02.2021;15:30;Freiburg;Union;2,45;3,1;3;0;1;8;9;251;318;307;127,58;76,2;8;11;0;0;4;2;1,33;1,4;1,57
2020;2021;22;Saturday;20.02.2021;15:30;Frankfurt;Bayern;3,9;4,3;1,75;2;1;3;1;403;438;179;204,9;829;9;1;0;0;9;7;2;1,22;1,27
2020;2021;22;Saturday;20.02.2021;15:30;Koeln;Stuttgart;3,4;3,6;2,05;0;1;14;10;350;363;209;106,5;151;14;18;0;1;6;4;1,75;1,33;1,28
2020;2021;22;Saturday;20.02.2021;18:30;Schalke;Dortmund;8;6;1,3;0;4;18;6;986;573;131;117,6;592,95;12;2;0;0;2;4;3,2;1,17;1,07
2020;2021;22;Sunday;21.02.2021;13:30;Augsburg;Leverkusen;5,2;4;1,62;1;1;13;5;543;401;166;101,1;396,3;15;5;0;0;0;4;2,2;1,28;1,15
2020;2021;22;Sunday;21.02.2021;15:30;Hertha;Leipzig;4,7;4;1,7;0;3;15;2;515;398;169;224,7;558,78;10;3;0;0;1;9;2,2;1,28;1,15
2020;2021;22;Sunday;21.02.2021;18:00;Hoffenheim;Bremen;2,15;3,4;3,4;4;0;12;11;220;358;332;228,3;98,2;6;16;0;0;1;5;1,33;1,33;1,67
