SeasonFrom;SeasonTo;Matchday;Day;Date;Time;Home;Guest;tipWin;tipDraw;topLose;Score90Home;Score90Guest;TabelleHome;TabelleGuest;OddsHome;OddsDraw;OddsGuest;MarktwertHome;MarktwertGuest;PreTabelleHome;PreTabelleGuest;AufsteigerHome;AufsteigerGuest;FormHome;FormGuest;tip_1X;tip_12;tip_X2
2020;2021;17;Tuesday;19.01.2021;18:30;Gladbach;Bremen;1,57;4,2;5,5;1;0;8;12;160;423;560;343,13;107,4;4;16;0;0;7;4;1,14;1,22;2,4
2020;2021;17;Tuesday;19.01.2021;20:30;Leverkusen;Dortmund;3,2;3,7;2,1;2;1;3;4;322;383;214;347,45;615,2;5;2;0;0;1;7;1,7;1,27;1,35
2020;2021;17;Tuesday;19.01.2021;20:30;Hertha;Hoffenheim;2,3;3,5;3;0;3;13;14;232;349;312;252,18;236,33;10;6;0;0;4;1;1,4;1,3;1,6
2020;2021;17;Tuesday;19.01.2021;20:30;Mainz;Wolfsburg;4,2;3,8;1,8;0;2;17;6;424;396;181;96,35;216,55;13;7;0;0;1;2;2;1,25;1,22
2020;2021;17;Wednesday;20.01.2021;18:30;Schalke;Koeln;2,6;3,2;2,8;1;2;18;16;259;330;287;157,8;99,6;12;14;0;0;3;1;1,42;1,35;1,5
2020;2021;17;Wednesday;20.01.2021;20:30;Leipzig;Union;1,5;4,2;6,5;1;0;2;5;150;426;728;552,48;62,9;3;11;0;0;4;7;1,11;1,22;2,55
2020;2021;17;Wednesday;20.01.2021;20:30;Freiburg;Frankfurt;2,65;3,5;2,5;2;2;9;7;278;349;255;109,9;198,05;8;9;0;0;6;9;1,5;1,27;1,45
2020;2021;17;Wednesday;20.01.2021;20:30;Augsburg;Bayern;12;7;1,2;0;1;11;1;1199;705;123;104,88;891,4;15;1;0;0;3;6;4,4;1,09;1,02
2020;2021;17;Wednesday;20.01.2021;20:30;Bielefeld;Stuttgart;4,2;3,8;1,8;3;0;15;10;430;383;183;45,15;103,45;17;18;1;1;4;4;2;1,25;1,22
