SeasonFrom;SeasonTo;Matchday;Day;Date;Time;Home;Guest;tipWin;tipDraw;topLose;Score90Home;Score90Guest;TabelleHome;TabelleGuest;OddsHome;OddsDraw;OddsGuest;MarktwertHome;MarktwertGuest;PreTabelleHome;PreTabelleGuest;AufsteigerHome;AufsteigerGuest;FormHome;FormGuest;tip_1X;tip_12;tip_X2
2020;2021;3;Friday;02.10.2020;20:30;Union;Mainz;2,2;3,5;3,2;4;0;14;17;224;347;324;57,15;104,95;11;13;0;0;4;0;1,35;1,3;1,65
2020;2021;3;Saturday;03.10.2020;15:30;Dortmund;Freiburg;1,3;6;9;4;0;10;5;130;603;948;593,75;107,5;2;8;0;0;3;7;1,07;1,14;3,6
2020;2021;3;Saturday;03.10.2020;15:30;Frankfurt;Hoffenheim;2,35;3,6;2,8;2;1;3;1;237;362;289;182,18;194,6;9;6;0;0;7;9;1,42;1,27;1,57
2020;2021;3;Saturday;03.10.2020;15:30;Koeln;Gladbach;3,8;4;1,85;1;3;16;15;399;390;186;95,33;314,68;14;4;0;0;0;4;1,95;1,25;1,27
2020;2021;3;Saturday;03.10.2020;15:30;Bremen;Bielefeld;2,15;3,5;3,3;1;0;11;6;215;354;336;117,3;34;16;17;0;1;6;4;1,32;1,3;1,7
2020;2021;3;Saturday;03.10.2020;15:30;Stuttgart;Leverkusen;3,9;3,8;1,85;1;1;8;12;392;401;186;79,75;331,45;18;5;1;0;3;5;1,9;1,25;1,25
2020;2021;3;Saturday;03.10.2020;18:30;Leipzig;Schalke;1,25;6,5;10;4;0;3;18;127;620;1097;500,63;175,48;3;12;0;0;7;0;1,05;1,11;3,9
2020;2021;3;Sunday;04.10.2020;15:30;Wolfsburg;Augsburg;1,9;3,6;3,9;0;0;12;2;198;355;390;191,25;101,93;7;15;0;0;2;6;1,25;1,27;1,85
2020;2021;3;Sunday;04.10.2020;18:00;Bayern;Hertha;1,13;9;15;4;3;7;9;116;840;1560;837,95;216,13;1;10;0;0;6;3;1;1,05;5,7
