SeasonFrom;SeasonTo;Matchday;Day;Date;Time;Home;Guest;tipWin;tipDraw;topLose;Score90Home;Score90Guest;TabelleHome;TabelleGuest;OddsHome;OddsDraw;OddsGuest;MarktwertHome;MarktwertGuest;PreTabelleHome;PreTabelleGuest;AufsteigerHome;AufsteigerGuest;FormHome;FormGuest;tip_1X;tip_12;tip_X2
2020;2021;23;Friday;26.02.2021;20:30;Bremen;Frankfurt;4,3;3,8;1,8;2;1;12;4;431;391;182;98,2;204,9;16;9;0;0;2;9;2,05;1,3;1,18
2020;2021;23;Saturday;27.02.2021;15:30;Bayern;Koeln;1,17;7,5;13;5;1;1;14;119;784;1432;829;106,5;1;14;0;0;4;3;1,02;1,08;5
2020;2021;23;Saturday;27.02.2021;15:30;Dortmund;Bielefeld;1,18;7;16;3;0;6;16;120;701;1498;592,95;50,75;2;17;0;1;4;1;1,03;1,1;4,4
2020;2021;23;Saturday;27.02.2021;15:30;Wolfsburg;Hertha;1,7;3,8;4,7;2;0;3;15;172;401;484;221,05;224,7;7;10;0;0;7;1;1,15;1,28;2,2
2020;2021;23;Saturday;27.02.2021;15:30;Stuttgart;Schalke;1,5;4,7;5,7;5;1;10;18;150;465;641;151;117,6;18;12;1;0;4;1;1,13;1,22;2,5
2020;2021;23;Saturday;27.02.2021;18:30;Leipzig;Gladbach;1,62;4;5,2;3;2;2;8;162;429;539;558,78;346,45;3;4;0;0;9;1;1,15;1,25;2,3
2020;2021;23;Sunday;28.02.2021;13:30;Union;Hoffenheim;2,4;3,5;2,8;1;1;7;11;237;346;305;76,2;228,3;11;6;0;0;4;4;1,37;1,33;1,6
2020;2021;23;Sunday;28.02.2021;15:30;Mainz;Augsburg;2,1;3,5;3,3;0;1;17;13;208;363;354;87,95;101,1;13;15;0;0;7;1;1,27;1,32;1,8
2020;2021;23;Sunday;28.02.2021;18:00;Leverkusen;Freiburg;1,7;3,9;4,6;1;2;5;9;179;373;475;396,3;127,58;5;8;0;0;5;4;1,18;1,28;2,1
