SeasonFrom;SeasonTo;Matchday;Day;Date;Time;Home;Guest;tipWin;tipDraw;topLose;Score90Home;Score90Guest;TabelleHome;TabelleGuest;OddsHome;OddsDraw;OddsGuest;MarktwertHome;MarktwertGuest;PreTabelleHome;PreTabelleGuest;AufsteigerHome;AufsteigerGuest;FormHome;FormGuest;tip_1X;tip_12;tip_X2
2020;2021;7;Friday;06.11.2020;20:30;Bremen;Koeln;2,3;3,6;2,9;1;1;9;16;245;353;288;102,5;101,83;16;14;0;0;3;2;1,4;1,27;1,6
2020;2021;7;Saturday;07.11.2020;15:30;Leipzig;Freiburg;1,3;5,5;9;3;0;3;13;134;537;944;514,58;106,2;3;8;0;0;6;2;1,05;1,14;3,4
2020;2021;7;Saturday;07.11.2020;15:30;Union;Bielefeld;1,9;3,5;4;5;0;7;15;192;365;408;56,03;47,15;11;17;0;1;5;0;1,22;1,3;1,85
2020;2021;7;Saturday;07.11.2020;15:30;Mainz;Schalke;2,25;3,4;3,1;2;2;18;17;224;349;327;103,95;171,55;13;12;0;0;0;2;1,35;1,3;1,6
2020;2021;7;Saturday;07.11.2020;15:30;Augsburg;Hertha;2,7;3,4;2,5;0;3;6;14;288;357;241;96,43;234,63;15;10;0;0;3;1;1,5;1,3;1,45
2020;2021;7;Saturday;07.11.2020;15:30;Stuttgart;Frankfurt;2,6;3,5;2,6;2;2;7;10;262;369;258;80,35;184,9;18;9;1;0;5;2;1,5;1,3;1,5
2020;2021;7;Saturday;07.11.2020;18:30;Dortmund;Bayern;4;4,2;1,75;2;3;2;1;412;431;178;587,25;875,95;2;1;0;0;9;9;2,05;1,22;1,22
2020;2021;7;Sunday;08.11.2020;15:30;Wolfsburg;Hoffenheim;2,2;3,5;3,2;2;1;11;12;216;366;331;209,25;224,1;7;6;0;0;5;1;1,35;1,3;1,65
2020;2021;7;Sunday;08.11.2020;18:00;Leverkusen;Gladbach;2,3;3,6;2,9;4;3;4;5;234;358;301;323,45;313,43;5;4;0;0;9;7;1,4;1,27;1,6
