SeasonFrom;SeasonTo;Matchday;Day;Date;Time;Home;Guest;tipWin;tipDraw;topLose;Score90Home;Score90Guest;TabelleHome;TabelleGuest;OddsHome;OddsDraw;OddsGuest;MarktwertHome;MarktwertGuest;PreTabelleHome;PreTabelleGuest;AufsteigerHome;AufsteigerGuest;FormHome;FormGuest;tip_1X;tip_12;tip_X2
2020;2021;11;Friday;04.12.2020;20:30;Wolfsburg;Frankfurt;2,1;3,8;3,2;2;1;5;9;215;369;330;218,75;191,7;7;9;0;0;7;3;1,35;1,27;1,75
2020;2021;11;Saturday;05.12.2020;15:30;Dortmund;Stuttgart;1,47;4,5;6,3;1;5;4;8;153;463;578;614,6;104,05;2;18;0;1;4;4;1,11;1,2;2,65
2020;2021;11;Saturday;05.12.2020;15:30;Leipzig;Bremen;1,35;5,3;8;2;0;3;13;137;521;841;527,68;107,25;3;16;0;0;5;1;1,08;1,16;3,2
2020;2021;11;Saturday;05.12.2020;15:30;Gladbach;Hertha;1,85;3,8;4;1;1;7;12;193;375;389;340,88;251,93;4;10;0;0;5;4;1,25;1,27;1,95
2020;2021;11;Saturday;05.12.2020;15:30;Freiburg;Bielefeld;1,85;3,8;4;2;0;14;16;185;381;418;111,7;45,75;8;17;0;1;2;3;1,25;1,27;1,95
2020;2021;11;Saturday;05.12.2020;15:30;Mainz;Koeln;2,45;3,6;2,75;0;1;17;15;245;358;283;95,05;101,65;13;14;0;0;4;4;1,45;1,3;1,55
2020;2021;11;Saturday;06.12.2020;18:30;Union;Bayern;9,5;6;1,27;1;1;6;1;918;632;130;61,13;895,7;11;1;0;0;4;5;3,7;1,12;1,05
2020;2021;11;Sunday;06.12.2020;15:30;Augsburg;Schalke;1,9;3,6;3,9;2;2;11;18;194;362;403;104,03;158,53;15;12;0;0;2;0;1,25;1,27;1,85
2020;2021;11;Sunday;07.12.2020;18:00;Leverkusen;Hoffenheim;1,8;4;4;4;1;2;10;180;420;403;343,45;238,33;5;6;0;0;7;5;1,25;1,25;2
