SeasonFrom;SeasonTo;Matchday;Day;Date;Time;Home;Guest;tipWin;tipDraw;topLose;Score90Home;Score90Guest;TabelleHome;TabelleGuest;OddsHome;OddsDraw;OddsGuest;MarktwertHome;MarktwertGuest;PreTabelleHome;PreTabelleGuest;AufsteigerHome;AufsteigerGuest;FormHome;FormGuest;tip_1X;tip_12;tip_X2
2020;2021;33;Saturday;15.05.2021;15:30;Gladbach;Stuttgart;1,65;4,3;4,5;1;2;7;10;170;453;437;323,45;171;4;18;0;1;3;3;1,2;1,22;2,2
2020;2021;33;Saturday;15.05.2021;15:30;Leverkusen;Union;1,82;3,7;4,1;1;1;6;8;189;377;414;385,4;76,3;5;11;0;0;4;3;1,22;1,3;1,95
2020;2021;33;Saturday;15.05.2021;15:30;Freiburg;Bayern;9;5,8;1,28;2;2;9;1;922;586;132;130,38;841,6;8;1;0;0;4;6;3,2;1,15;1,08
2020;2021;33;Saturday;15.05.2021;15:30;Hertha;Koeln;2,5;3,4;2,7;0;0;13;17;261;332;283;220;107,15;10;14;0;0;7;6;1,4;1,37;1,52
2020;2021;33;Saturday;15.05.2021;15:30;Schalke;Frankfurt;11;7,2;1,2;4;3;18;5;1229;705;123;108,58;227,9;12;9;0;0;0;4;4;1,12;1,04
2020;2021;33;Saturday;15.05.2021;15:30;Augsburg;Bremen;2,55;3,2;2,8;2;0;14;15;263;315;294;101,5;103,6;15;16;0;0;0;1;1,4;1,37;1,52
2020;2021;33;Saturday;15.05.2021;15:30;Bielefeld;Hoffenheim;2,6;3,7;2,45;1;1;16;11;268;370;253;52,65;237,3;17;6;1;0;4;7;1,55;1,3;1,45
2020;2021;33;Sunday;16.05.2021;18:00;Mainz;Dortmund;6,7;5;1,4;1;3;12;4;668;510;144;92,85;581,45;13;2;0;0;7;9;2,75;1,2;1,1
2020;2021;33;Sunday;16.05.2021;20:30;Leipzig;Wolfsburg;2,15;3,4;3,3;2;2;2;3;222;346;336;561,78;234,05;3;7;0;0;3;6;1,3;1,33;1,7
