SeasonFrom;SeasonTo;Matchday;Day;Date;Time;Home;Guest;tipWin;tipDraw;topLose;Score90Home;Score90Guest;TabelleHome;TabelleGuest;OddsHome;OddsDraw;OddsGuest;MarktwertHome;MarktwertGuest;PreTabelleHome;PreTabelleGuest;AufsteigerHome;AufsteigerGuest;FormHome;FormGuest;tip_1X;tip_12;tip_X2
2020;2021;4;Saturday;17.10.2020;15:30;Hoffenheim;Dortmund;4,3;4;1,75;0;1;6;5;426;424;175;224,1;587,25;6;2;0;0;6;6;2,05;1,25;1,22
2020;2021;4;Saturday;17.10.2020;15:30;Freiburg;Bremen;2,3;3,4;3,1;1;1;12;7;227;349;315;106,2;102,5;8;16;0;0;4;6;1,37;1,32;1,6
2020;2021;4;Saturday;17.10.2020;15:30;Hertha;Stuttgart;2,1;3,6;3,4;0;2;13;8;208;377;337;234,63;79,75;10;18;0;1;3;4;1,32;1,3;1,75
2020;2021;4;Saturday;17.10.2020;15:30;Mainz;Leverkusen;5;4,2;1,6;0;1;17;14;518;437;161;103,95;323,45;13;5;0;0;0;3;2,3;1,2;1,16
2020;2021;4;Saturday;17.10.2020;15:30;Augsburg;Leipzig;5,5;4,3;1,55;0;2;2;1;552;444;157;96,43;514,58;15;3;0;0;7;7;2,4;1,2;1,14
2020;2021;4;Saturday;17.10.2020;18:30;Bielefeld;Bayern;12;7;1,2;1;4;10;4;1290;748;120;47,15;868,95;17;1;1;0;4;6;4,4;1,09;1,02
2020;2021;4;Saturday;17.10.2020;20:30;Gladbach;Wolfsburg;1,9;3,7;3,8;1;1;11;15;189;382;399;313,38;209,25;4;7;0;0;4;3;1,25;1,27;1,85
2020;2021;4;Sunday;18.10.2020;15:30;Koeln;Frankfurt;3;3,7;2,2;1;1;16;3;306;378;222;101,83;184,9;14;9;0;0;0;7;1,65;1,27;1,37
2020;2021;4;Sunday;18.10.2020;18:00;Schalke;Union;2,7;3,2;2,7;1;1;18;9;275;326;269;171,55;56,03;12;11;0;0;0;4;1,47;1,35;1,47
