SeasonFrom;SeasonTo;Matchday;Day;Date;Time;Home;Guest;tipWin;tipDraw;topLose;Score90Home;Score90Guest;TabelleHome;TabelleGuest;OddsHome;OddsDraw;OddsGuest;MarktwertHome;MarktwertGuest;PreTabelleHome;PreTabelleGuest;AufsteigerHome;AufsteigerGuest;FormHome;FormGuest;tip_1X;tip_12;tip_X2
2020;2021;29;Friday;16.04.2021;20:30;Leipzig;Hoffenheim;1,35;5,3;8;0;0;2;12;140;510;787;561,78;237,3;3;6;0;0;6;1;1,07;1,18;3,1
2020;2021;29;Saturday;17.04.2021;15:30;Gladbach;Frankfurt;2,5;3,6;2,6;4;0;8;4;255;377;263;323,45;227,9;4;9;0;0;7;9;1,5;1,3;1,5
2020;2021;29;Saturday;17.04.2021;15:30;Wolfsburg;Bayern;3,7;3,9;1,9;2;3;3;1;387;395;191;234,05;842,6;7;1;0;0;6;7;1,85;1,28;1,28
2020;2021;29;Saturday;17.04.2021;15:30;Freiburg;Schalke;1,67;4;4,7;4;0;10;18;171;398;502;130,38;108,43;8;12;0;0;3;3;1,18;1,27;2,15
2020;2021;29;Saturday;17.04.2021;15:30;Union;Stuttgart;2,2;3,5;3,1;2;1;7;9;229;342;324;76,3;170,5;11;18;0;1;2;3;1,37;1,35;1,57
2020;2021;29;Saturday;17.04.2021;18:30;Augsburg;Bielefeld;2,4;3,2;3;0;0;11;16;251;327;300;102,23;52,65;15;17;0;1;3;4;1,37;1,37;1,55
2020;2021;29;Saturday;17.04.2021;15:30;Leverkusen;Koeln;1,57;4;5,7;3;0;6;17;165;395;567;385,4;107,15;5;14;0;0;4;1;1,13;1,27;2,35
2020;2021;29;Sunday;18.04.2021;18:00;Dortmund;Bremen;1,37;5;8;4;1;5;13;140;516;771;581,45;102,4;2;16;0;0;4;0;1,07;1,18;3,1
2020;2021;29;Sunday;18.04.2021;20:30;Mainz;Hertha;1;1;1;;;14;15;234;335;321;92,85;220;13;10;0;0;7;5;1;1;1
