SeasonFrom;SeasonTo;Matchday;Day;Date;Time;Home;Guest;tipWin;tipDraw;topLose;Score90Home;Score90Guest;TabelleHome;TabelleGuest;OddsHome;OddsDraw;OddsGuest;MarktwertHome;MarktwertGuest;PreTabelleHome;PreTabelleGuest;AufsteigerHome;AufsteigerGuest;FormHome;FormGuest;tip_1X;tip_12;tip_X2
2020;2021;34;Saturday;22.05.2021;15:30;Bayern;Augsburg;1,12;10;15;5;2;1;12;113;988;1788;841,6;101,5;1;15;0;0;4;3;1,02;1,06;5,5
2020;2021;34;Saturday;22.05.2021;15:30;Dortmund;Leverkusen;1,55;4,6;5;3;1;3;6;158;458;543;581,45;385,4;2;5;0;0;9;5;1,13;1,22;2,5
2020;2021;34;Saturday;22.05.2021;15:30;Hoffenheim;Hertha;1,9;3,9;3,6;2;1;11;14;196;401;361;237,3;220,15;6;10;0;0;5;5;1,3;1,25;1,85
2020;2021;34;Saturday;22.05.2021;15:30;Wolfsburg;Mainz;1,6;4,2;5;2;3;4;13;166;437;479;234,05;92,85;7;13;0;0;4;4;1,17;1,22;2,3
2020;2021;34;Saturday;22.05.2021;15:30;Frankfurt;Freiburg;2,05;4,2;3;3;1;5;10;209;423;309;227,9;130,38;9;8;0;0;1;5;1,33;1,25;1,8
2020;2021;34;Saturday;22.05.2021;15:30;Union;Leipzig;2,8;3,8;2,25;2;1;7;2;290;386;231;76,3;561,78;11;3;0;0;4;4;1,65;1,27;1,4
2020;2021;34;Saturday;22.05.2021;15:30;Koeln;Schalke;1,35;6;6,4;1;0;17;18;135;569;820;107,15;108,65;14;12;0;0;4;3;1,08;1,15;3,2
2020;2021;34;Saturday;22.05.2021;15:30;Bremen;Gladbach;2,6;3,9;2,4;2;4;16;8;265;390;247;103,6;323,45;16;4;0;0;1;3;1,57;1,28;1,45
2020;2021;34;Saturday;22.05.2021;15:30;Stuttgart;Bielefeld;2,4;3,7;2,65;0;2;9;15;248;385;267;171;52,65;18;17;1;1;6;2;1,45;1,27;1,52
