SeasonFrom;SeasonTo;Matchday;Day;Date;Time;Home;Guest;tipWin;tipDraw;topLose;Score90Home;Score90Guest;TabelleHome;TabelleGuest;OddsHome;OddsDraw;OddsGuest;MarktwertHome;MarktwertGuest;PreTabelleHome;PreTabelleGuest;AufsteigerHome;AufsteigerGuest;FormHome;FormGuest;tip_1X;tip_12;tip_X2
2020;2021;8;Saturday;21.11.2020;15:30;Bayern;Bremen;1,12;9;20;1;1;1;9;112;1030;1981;881,2;102,5;1;16;0;0;9;3;1;1,06;6,2
2020;2021;8;Saturday;21.11.2020;15:30;Gladbach;Augsburg;1,52;4,2;6;1;1;7;10;152;467;601;313,43;96,43;4;15;0;0;6;3;1,12;1,22;2,45
2020;2021;8;Saturday;21.11.2020;15:30;Hoffenheim;Stuttgart;2,35;3,8;2,7;3;3;13;8;238;385;279;224,13;80,35;6;18;0;1;1;3;1,45;1,25;1,57
2020;2021;8;Saturday;21.11.2020;15:30;Schalke;Wolfsburg;3,6;3,5;2;0;2;17;6;381;360;200;171,55;209,25;12;7;0;0;2;7;1,75;1,27;1,27
2020;2021;8;Saturday;21.11.2020;15:30;Bielefeld;Leverkusen;5,7;4,2;1,55;1;2;15;4;608;432;155;47,15;323,45;17;5;1;0;0;9;2,4;1,22;1,13
2020;2021;8;Saturday;21.11.2020;18:30;Frankfurt;Leipzig;3,7;3,8;1,9;1;1;11;2;386;388;191;184,9;514,58;9;3;0;0;2;6;1,85;1,25;1,27
2020;2021;8;Saturday;21.11.2020;20:30;Hertha;Dortmund;4,7;4;1,68;2;5;12;3;477;414;170;234,63;587,25;10;2;0;0;4;6;2,15;1,25;1,18
2020;2021;8;Sunday;22.11.2020;15:30;Freiburg;Mainz;2,1;3,6;3,3;1;3;14;18;215;352;341;106,2;103,95;8;13;0;0;1;1;1,32;1,27;1,7
2020;2021;8;Sunday;22.11.2020;18:00;Koeln;Union;2,7;3,4;2,55;1;2;16;5;272;341;264;101,83;56,03;14;11;0;0;2;7;1,5;1,3;1,45
