SeasonFrom;SeasonTo;Matchday;Day;Date;Time;Home;Guest;tipWin;tipDraw;topLose;Score90Home;Score90Guest;TabelleHome;TabelleGuest;OddsHome;OddsDraw;OddsGuest;MarktwertHome;MarktwertGuest;PreTabelleHome;PreTabelleGuest;AufsteigerHome;AufsteigerGuest;FormHome;FormGuest;tip_1X;tip_12;tip_X2
2020;2021;26;Friday;19.03.2021;20:30;Bielefeld;Leipzig;9;5;1,33;0;1;15;2;931;509;135;50,75;558,78;17;3;1;0;4;7;3,3;1,2;1,04
2020;2021;26;Saturday;20.03.2021;15:30;Bayern;Stuttgart;1,22;7;10;4;0;1;8;123;718;1077;826,5;151;1;18;0;1;9;7;1,03;1,1;4,4
2020;2021;26;Saturday;20.03.2021;15:30;Frankfurt;Union;1,75;3,8;4,4;5;2;4;7;185;380;418;206,4;76,2;9;11;0;0;2;5;1,2;1,3;2
2020;2021;26;Saturday;20.03.2021;15:30;Koeln;Dortmund;7;4,5;1,45;2;2;14;5;646;464;149;106,5;592,95;14;2;0;0;1;6;2,65;1,22;1,1
2020;2021;26;Saturday;20.03.2021;15:30;Bremen;Wolfsburg;4,2;3,5;1,85;1;2;12;3;421;351;191;98,2;221,05;16;7;0;0;4;6;1,9;1,27;1,2
2020;2021;26;Saturday;20.03.2021;18:30;Schalke;Gladbach;7;4,5;1,45;0;3;18;10;691;450;148;117,6;346,45;12;4;0;0;1;0;2,65;1,22;1,1
2020;2021;26;Sunday;21.03.2021;13:30;Hoffenheim;Mainz;1,85;3,8;4;1;2;11;17;191;379;396;228,3;87,95;6;13;0;0;4;4;1,22;1,3;1,95
2020;2021;26;Sunday;21.03.2021;15:30;Hertha;Leverkusen;3,5;3,5;2,05;3;0;16;6;352;355;210;224,7;396,3;10;5;0;0;3;3;1,75;1,33;1,28
2020;2021;26;Sunday;21.03.2021;18:00;Freiburg;Augsburg;1,9;3,5;4;2;0;9;13;196;358;395;127,58;101,1;8;15;0;0;3;6;1,22;1,32;1,9
