SeasonFrom;SeasonTo;Matchday;Day;Date;Time;Home;Guest;tipWin;tipDraw;topLose;Score90Home;Score90Guest;TabelleHome;TabelleGuest;OddsHome;OddsDraw;OddsGuest;MarktwertHome;MarktwertGuest;PreTabelleHome;PreTabelleGuest;AufsteigerHome;AufsteigerGuest;FormHome;FormGuest;tip_1X;tip_12;tip_X2
2020;2021;16;Friday;15.01.2021;20:30;Union;Leverkusen;3,4;3,4;2,1;1;0;5;3;356;350;212;60,6;347,45;11;5;0;0;7;1;1,7;1,3;1,3
2020;2021;16;Saturday;16.01.2021;15:30;Dortmund;Mainz;1,2;7;12;1;1;4;18;121;715;1381;615,2;89,55;2;13;0;0;6;0;1,02;1,09;4,4
2020;2021;16;Saturday;16.01.2021;15:30;Hoffenheim;Bielefeld;1,7;3,8;5;0;0;14;15;172;394;490;236,33;45,15;6;17;0;1;3;6;1,17;1,27;2,15
2020;2021;16;Saturday;16.01.2021;15:30;Wolfsburg;Leipzig;3,6;3,6;2;2;2;6;2;371;362;203;216,55;552,48;7;3;0;0;4;4;1,8;1,27;1,27
2020;2021;16;Saturday;16.01.2021;15:30;Koeln;Hertha;3,2;3,3;2,25;0;0;16;12;328;331;232;101,8;252,18;14;10;0;0;1;3;1,6;1,32;1,35
2020;2021;16;Saturday;16.01.2021;15:30;Bremen;Augsburg;2,25;3,3;3,2;2;0;13;11;224;331;344;107,4;104,88;16;15;0;0;4;3;1,35;1,32;1,6
2020;2021;16;Saturday;16.01.2021;18:30;Stuttgart;Gladbach;2,8;3,8;2,25;2;2;10;7;293;388;227;103,45;343,13;18;4;1;0;3;6;1,6;1,25;1,42
2020;2021;16;Sunday;17.01.2021;15:30;Bayern;Freiburg;1,2;7;12;2;1;1;8;124;696;1120;891,4;109,9;1;8;0;0;6;9;1,02;1,09;4,4
2020;2021;16;Sunday;17.01.2021;18:00;Frankfurt;Schalke;1,5;4,6;5,7;3;1;9;17;151;455;634;186,2;157,8;9;12;0;0;9;3;1,13;1,18;2,55
