SeasonFrom;SeasonTo;Matchday;Day;Date;Time;Home;Guest;tipWin;tipDraw;topLose;Score90Home;Score90Guest;TabelleHome;TabelleGuest;OddsHome;OddsDraw;OddsGuest;MarktwertHome;MarktwertGuest;PreTabelleHome;PreTabelleGuest;AufsteigerHome;AufsteigerGuest;FormHome;FormGuest;tip_1X;tip_12;tip_X2
2020;2021;19;Friday;29.01.2021;20:30;Stuttgart;Mainz;1,65;4,1;4,7;2;0;10;17;174;414;451;103,45;87,55;18;13;1;0;1;4;1,18;1,22;2,2
2020;2021;19;Saturday;30.01.2021;15:30;Bayern;Hoffenheim;1,2;8;9,5;4;1;1;11;123;730;1115;893,5;228,33;1;6;0;0;9;7;1,04;1,07;4,3
2020;2021;19;Saturday;30.01.2021;15:30;Dortmund;Augsburg;1,22;6,5;11;3;1;7;12;125;655;1147;615,2;104,63;2;15;0;0;1;3;1,03;1,1;4,1
2020;2021;19;Saturday;30.01.2021;15:30;Frankfurt;Hertha;1,75;4;4,2;3;1;6;14;179;409;427;191,05;252,18;9;10;0;0;7;1;1,22;1,22;2,05
2020;2021;19;Saturday;30.01.2021;15:30;Union;Gladbach;3,1;3,5;2,2;1;1;8;5;323;356;223;62,9;343,13;11;4;0;0;3;7;1,65;1,27;1,35
2020;2021;19;Saturday;30.01.2021;15:30;Bremen;Schalke;1,85;3,5;4,2;1;1;13;18;191;366;413;106,6;165,1;16;12;0;0;6;0;1,2;1,27;1,9
2020;2021;19;Saturday;30.01.2021;18:30;Leipzig;Leverkusen;1,85;3,8;4;1;0;2;3;191;389;387;552,48;351,45;3;5;0;0;4;3;1,25;1,27;1,95
2020;2021;19;Sunday;31.01.2021;15:30;Koeln;Bielefeld;2,2;3,2;3,4;3;1;16;15;227;322;344;113,6;45,15;14;17;0;1;4;4;1,3;1,32;1,65
2020;2021;19;Sunday;31.01.2021;18:00;Wolfsburg;Freiburg;1,8;3,7;4,2;3;0;4;9;187;378;417;206,55;108,9;7;8;0;0;7;4;1,2;1,25;1,95
