SeasonFrom;SeasonTo;Matchday;Day;Date;Time;Home;Guest;tipWin;tipDraw;topLose;Score90Home;Score90Guest;TabelleHome;TabelleGuest;OddsHome;OddsDraw;OddsGuest;MarktwertHome;MarktwertGuest;PreTabelleHome;PreTabelleGuest;AufsteigerHome;AufsteigerGuest;FormHome;FormGuest;tip_1X;tip_12;tip_X2
2020;2021;27;Saturday;03.04.2021;15:30;Dortmund;Frankfurt;1,75;4;4,2;1;2;5;4;179;402;427;581,45;227,9;2;9;0;0;4;5;1,22;1,27;2
2020;2021;27;Saturday;03.04.2021;15:30;Leverkusen;Schalke;1,22;6,5;11;2;1;6;18;123;656;1327;385,4;108,25;5;12;0;0;3;1;1,03;1,12;4,2
2020;2021;27;Saturday;03.04.2021;15:30;Wolfsburg;Koeln;1,52;4,2;6;1;0;3;16;154;424;634;234,05;107;7;14;0;0;6;2;1,08;1,25;2,65
2020;2021;27;Saturday;03.04.2021;15:30;Mainz;Bielefeld;1,9;3,5;4;1;1;15;17;188;351;445;92,85;52,65;13;17;0;1;7;4;1,22;1,32;1,9
2020;2021;27;Saturday;03.04.2021;15:30;Augsburg;Hoffenheim;3,4;3,7;2;2;1;13;11;364;371;202;101,5;238,05;15;6;0;0;3;3;1,8;1,3;1,28
2020;2021;27;Saturday;03.04.2021;18:30;Leipzig;Bayern;2,8;3,7;2,3;0;1;2;1;281;375;240;561,78;841,6;3;1;0;0;7;9;1,62;1,3;1,4
2020;2021;27;Saturday;03.04.2021;20:30;Gladbach;Freiburg;1,75;3,9;4,3;2;1;10;8;178;403;434;323,45;130,08;4;8;0;0;3;3;1,2;1,27;2,1
2020;2021;27;Sunday;04.04.2021;15:30;Stuttgart;Bremen;1,9;3,6;3,9;1;0;9;12;197;368;385;170,5;102,4;18;16;1;0;4;1;1,22;1,32;1,9
2020;2021;27;Sunday;04.04.2021;18:00;Union;Hertha;2,5;3,3;2,8;1;1;7;14;256;325;292;76,3;220;11;10;0;0;4;6;1,42;1,37;1,5
