SeasonFrom;SeasonTo;Matchday;Day;Date;Time;Home;Guest;tipWin;tipDraw;topLose;Score90Home;Score90Guest;TabelleHome;TabelleGuest;OddsHome;OddsDraw;OddsGuest;MarktwertHome;MarktwertGuest;PreTabelleHome;PreTabelleGuest;AufsteigerHome;AufsteigerGuest;FormHome;FormGuest;tip_1X;tip_12;tip_X2
2020;2021;25;Friday;12.03.2021;20:30;Augsburg;Gladbach;3,9;3,7;1,9;3;1;13;10;406;372;190;101,1;346,45;15;4;0;0;4;0;1,95;1,3;1,22
2020;2021;25;Saturday;13.03.2021;15:30;Wolfsburg;Schalke;1,33;5;9;5;0;3;18;135;504;944;221,05;117,6;7;12;0;0;6;1;1,07;1,17;3,2
2020;2021;25;Saturday;13.03.2021;15:30;Union;Koeln;1,95;3,2;4,2;2;1;7;14;197;338;419;76,2;106,5;11;14;0;0;5;1;1,2;1,35;1,9
2020;2021;25;Saturday;13.03.2021;15:30;Mainz;Freiburg;2,55;3,4;2,65;1;0;17;8;264;343;268;87,95;127,58;13;8;0;0;4;3;1,47;1,35;1,47
2020;2021;25;Saturday;13.03.2021;15:30;Bremen;Bayern;11;6,3;1,23;1;3;12;1;1030;643;126;98,2;826,5;16;1;0;0;4;6;3,9;1,13;1,04
2020;2021;25;Saturday;13.03.2021;18:30;Dortmund;Hertha;1,45;4,6;6,5;2;0;6;15;148;468;646;592,95;224,7;2;10;0;0;6;3;1,1;1,22;2,65
2020;2021;25;Sunday;14.03.2021;13:30;Leverkusen;Bielefeld;1,37;5;8;1;2;5;16;137;505;853;396,3;50,75;5;17;0;1;4;1;1,06;1,18;3,2
2020;2021;25;Sunday;14.03.2021;15:30;Leipzig;Frankfurt;1,7;4;4,7;1;1;2;4;173;402;461;558,78;206,4;3;9;0;0;9;4;1,18;1,27;2,15
2020;2021;25;Sunday;14.03.2021;18:00;Stuttgart;Hoffenheim;2,4;3,7;2,7;2;0;9;11;249;371;270;151;228,3;18;6;1;0;7;7;1,47;1,28;1,57
