SeasonFrom;SeasonTo;Matchday;Day;Date;Time;Home;Guest;tipWin;tipDraw;topLose;Score90Home;Score90Guest;TabelleHome;TabelleGuest;OddsHome;OddsDraw;OddsGuest;MarktwertHome;MarktwertGuest;PreTabelleHome;PreTabelleGuest;AufsteigerHome;AufsteigerGuest;FormHome;FormGuest;tip_1X;tip_12;tip_X2
2020;2021;5;Friday;23.10.2020;20:30;Stuttgart;Koeln;1,92;3,8;3,6;1;1;5;16;196;391;368;79,75;101,83;18;14;1;0;7;1;1,27;1,25;1,85
2020;2021;5;Saturday;24.10.2020;15:30;Bayern;Frankfurt;1,23;7;9,5;5;0;2;4;122;735;1163;874,65;184,9;1;9;0;0;6;7;1,05;1,09;4
2020;2021;5;Saturday;24.10.2020;15:30;Leipzig;Hertha;1,47;4,7;6,5;2;1;1;15;147;484;649;514,58;234,63;3;10;0;0;7;0;1,12;1,2;2,75
2020;2021;5;Saturday;24.10.2020;15:30;Union;Freiburg;2,3;3,4;3;1;1;10;12;227;346;323;56,03;106,2;11;8;0;0;5;2;1,37;1,3;1,6
2020;2021;5;Saturday;24.10.2020;15:30;Mainz;Gladbach;4,8;4;1,65;2;3;18;11;495;417;168;103,95;313,38;13;4;0;0;0;5;2,2;1,22;1,17
2020;2021;5;Saturday;24.10.2020;18:30;Dortmund;Schalke;1,22;6,5;11;3;0;3;17;122;687;1380;587,25;171,55;2;12;0;0;6;1;1,03;1,1;4,1
2020;2021;5;Sunday;25.10.2020;15:30;Wolfsburg;Bielefeld;1,67;3,8;5;2;1;13;14;169;394;518;209,25;47,15;7;17;0;1;3;3;1,16;1,25;2,15
2020;2021;5;Sunday;25.10.2020;18:00;Bremen;Hoffenheim;3;3,6;2,25;1;1;7;8;306;378;225;102,5;224,1;16;6;0;0;7;3;1,65;1,27;1,37
2020;2021;5;Monday;26.10.2020;20:30;Leverkusen;Augsburg;1,63;4;5;3;1;9;6;164;424;525;323,45;96,43;5;15;0;0;5;4;1,16;1,22;2,2
