SeasonFrom;SeasonTo;Matchday;Day;Date;Time;Home;Guest;tipWin;tipDraw;topLose;Score90Home;Score90Guest;TabelleHome;TabelleGuest;OddsHome;OddsDraw;OddsGuest;MarktwertHome;MarktwertGuest;PreTabelleHome;PreTabelleGuest;AufsteigerHome;AufsteigerGuest;FormHome;FormGuest;tip_1X;tip_12;tip_X2
2020;2021;12;Tuesday;15.12.2020;18:30;Frankfurt;Gladbach;2,65;3,7;2,4;3;3;9;8;275;372;246;191,7;340,88;9;4;0;0;2;5;1,55;1,25;1,45
2020;2021;12;Tuesday;15.12.2020;20:30;Hertha;Mainz;1,72;3,9;4,5;0;0;11;17;176;393;458;251,93;95,05;10;13;0;0;5;1;1,2;1,25;2,1
2020;2021;12;Tuesday;15.12.2020;20:30;Bremen;Dortmund;5,7;4,7;1,5;1;2;13;5;598;466;152;107,25;614,6;16;2;0;0;0;1;2,6;1,18;1,14
2020;2021;12;Tuesday;15.12.2020;20:30;Stuttgart;Union;2,1;3,4;3,4;2;2;7;6;216;351;342;104,05;61,13;18;11;1;0;6;2;1,3;1,3;1,7
2020;2021;12;Wednesday;16.12.2020;18:30;Schalke;Freiburg;2,9;3,4;2,35;0;2;18;14;305;349;235;158,53;111,7;12;8;0;0;1;5;1,57;1,3;1,4
2020;2021;12;Wednesday;16.12.2020;20:30;Bayern;Wolfsburg;1,3;5,8;8,5;2;1;2;4;134;570;850;895,7;218,75;1;7;0;0;5;7;1,06;1,13;3,4
2020;2021;12;Wednesday;16.12.2020;20:30;Hoffenheim;Leipzig;4,7;4,5;1,6;0;1;12;3;460;448;166;238,33;527,68;6;3;0;0;4;7;2,3;1,2;1,18
2020;2021;12;Wednesday;16.12.2020;20:30;Köln;Leverkusen;4,8;4;1,65;0;4;15;1;504;405;168;101,65;343,45;14;5;0;0;7;7;2,2;1,22;1,17
2020;2021;12;Wednesday;16.12.2020;20:30;Bielefeld;Augsburg;2,8;3,2;2,55;0;1;16;10;292;320;260;45,75;104,28;17;15;1;0;3;2;1,5;1,32;1,42
