SeasonFrom;SeasonTo;Matchday;Day;Date;Time;Home;Guest;tipWin;tipDraw;topLose;Score90Home;Score90Guest;TabelleHome;TabelleGuest;OddsHome;OddsDraw;OddsGuest;MarktwertHome;MarktwertGuest;PreTabelleHome;PreTabelleGuest;AufsteigerHome;AufsteigerGuest;FormHome;FormGuest;tip_1X;tip_12;tip_X2
2020;2021;15;Friday;08.01.2021;20:30;Gladbach;Bayern;4,6;4,8;1,57;3;2;7;1;481;480;161;343,13;891,4;4;1;0;0;4;9;2,35;1,17;1,18
2020;2021;15;Saturday;09.01.2021;15:30;Leverkusen;Bremen;1,42;4,7;7;1;1;3;14;146;467;700;343,45;107,2;5;16;0;0;3;3;1,07;1,18;2,8
2020;2021;15;Saturday;09.01.2021;15:30;Freiburg;Koeln;1,9;3,6;3,9;5;0;9;15;193;366;406;111,7;101,8;8;14;0;0;9;1;1,25;1,27;1,85
2020;2021;15;Saturday;09.01.2021;15:30;Union;Wolfsburg;3;3,2;2,4;2;2;5;6;306;332;243;60,6;218,55;11;7;0;0;7;3;1,55;1,32;1,37
2020;2021;15;Saturday;09.01.2021;15:30;Schalke;Hoffenheim;4,2;3,7;1,8;4;0;18;13;437;407;178;157,8;238,33;12;6;0;0;0;3;1,95;1,25;1,2
2020;2021;15;Saturday;09.01.2021;15:30;Mainz;Frankfurt;3,5;3,8;1,95;0;2;17;8;368;395;193;89,55;186,2;13;9;0;0;1;7;1,8;1,25;1,3
2020;2021;15;Saturday;09.01.2021;18:30;Leipzig;Dortmund;2,3;3,4;3;1;3;2;4;238;354;297;552,68;615,2;3;2;0;0;7;6;1,37;1,3;1,6
2020;2021;15;Sunday;10.01.2021;15:30;Augsburg;Stuttgart;3,3;3,6;2,1;1;4;10;11;351;363;209;104,28;103,45;15;18;0;1;6;1;1,7;1,27;1,32
2020;2021;15;Sunday;10.01.2021;18:00;Bielefeld;Hertha;3,8;3,5;1,95;1;0;16;12;391;357;199;45,15;251,93;17;10;1;0;3;4;1,8;1,3;1,25
